,customer,state,response,coverage,education,effective_to_date,employment_status,gender,location_code,marital_status,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_type,policy_number
0,BU79786,Washington,No,Basic,Bachelor,2011-02-24,Employed,F,Suburban,Married,Offer1,Agent,Two-Door Car,Medsize,Corporate,L3
1,QZ44356,Arizona,No,Extended,Bachelor,2011-01-31,Unemployed,F,Suburban,Single,Offer3,Agent,Four-Door Car,Medsize,Personal,L3
2,AI49188,Nevada,No,Premium,Bachelor,2011-02-19,Employed,F,Suburban,Married,Offer1,Agent,Two-Door Car,Medsize,Personal,L3
3,WW63253,California,No,Basic,Bachelor,2011-01-20,Unemployed,M,Suburban,Married,Offer1,Call Center,SUV,Medsize,Corporate,L2
4,HB64268,Washington,No,Basic,Bachelor,2011-02-03,Employed,M,Rural,Single,Offer1,Agent,Four-Door Car,Medsize,Personal,L1
5,OC83172,Oregon,Yes,Basic,Bachelor,2011-01-25,Employed,F,Rural,Married,Offer2,Web,Two-Door Car,Medsize,Personal,L3
6,XZ87318,Oregon,Yes,Basic,College,2011-02-24,Employed,F,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,Corporate,L3
7,CF85061,Arizona,No,Premium,Master,2011-01-18,Unemployed,M,Urban,Single,Offer1,Agent,Four-Door Car,Medsize,Corporate,L3
8,DY87989,Oregon,Yes,Basic,Bachelor,2011-01-26,Medical Leave,M,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,Corporate,L3
9,BQ94931,Oregon,No,Extended,College,2011-02-17,Employed,F,Urban,Married,Offer2,Branch,Four-Door Car,Medsize,Special,L2
10,SX51350,California,No,Basic,College,2011-02-21,Unemployed,M,Suburban,Single,Offer1,Agent,Four-Door Car,Small,Personal,L3
11,VQ65197,California,No,Basic,College,2011-01-06,Unemployed,F,Suburban,Married,Offer2,Agent,SUV,Medsize,Personal,L3
12,DP39365,California,No,Premium,Master,2011-02-06,Employed,M,Urban,Married,Offer2,Agent,Four-Door Car,Medsize,Corporate,L1
13,SJ95423,Arizona,Yes,Basic,High School or Below,2011-01-10,Employed,M,Suburban,Married,Offer2,Branch,SUV,Medsize,Corporate,L3
14,IL66569,California,No,Basic,College,2011-01-18,Employed,M,Urban,Single,Offer4,Call Center,Four-Door Car,Medsize,Corporate,L3
15,BW63560,Oregon,No,Basic,Bachelor,2011-01-17,Employed,F,Rural,Married,Offer2,Branch,Four-Door Car,Medsize,Corporate,L2
16,FV94802,Nevada,No,Basic,High School or Below,2011-02-06,Medical Leave,M,Suburban,Married,Offer2,Call Center,Two-Door Car,Medsize,Personal,L3
17,OE15005,California,No,Basic,College,2011-01-05,Medical Leave,M,Suburban,Married,Offer3,Call Center,SUV,Medsize,Personal,L2
18,WC83389,Oregon,No,Basic,College,2011-02-27,Employed,M,Urban,Married,Offer2,Branch,Four-Door Car,Medsize,Personal,L2
19,FL50705,California,No,Premium,High School or Below,2011-01-14,Employed,F,Suburban,Married,Offer1,Call Center,Four-Door Car,Small,Corporate,L2
20,ZK25313,Oregon,No,Basic,High School or Below,2011-02-19,Employed,M,Suburban,Single,Offer1,Branch,Two-Door Car,Medsize,Personal,L2
21,SV62436,Washington,No,Extended,Bachelor,2011-01-21,Disabled,F,Suburban,Divorced,Offer4,Call Center,Four-Door Car,Medsize,Personal,L3
22,YH23384,Arizona,Yes,Basic,Bachelor,2011-01-26,Medical Leave,M,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,Personal,L3
23,TZ98966,Nevada,No,Basic,Bachelor,2011-02-24,Unemployed,F,Suburban,Single,Offer1,Branch,Four-Door Car,Medsize,Corporate,L3
24,HM55802,California,No,Basic,Bachelor,2011-02-05,Disabled,F,Suburban,Married,Offer2,Branch,Four-Door Car,Medsize,Corporate,L2
25,FS42516,Oregon,No,Basic,College,2011-01-29,Employed,M,Suburban,Married,Offer2,Call Center,Four-Door Car,Large,Personal,L3
